Date,Stock,close_price
2020-07-02,MRVE3.SA,18.549999237060547
2020-07-02,COGN3.SA,6.920000076293945
2020-07-02,RADL3.SA,22.9060001373291
2020-07-02,MRFG3.SA,12.199999809265135
2020-07-02,BRFS3.SA,20.399999618530273
2020-07-02,RAIL3.SA,22.459999084472656
2020-07-02,PCAR3.SA,71.31999969482422
2020-07-02,MGLU3.SA,70.09999847412111
2020-07-02,BRKM5.SA,23.649999618530273
2020-07-02,SULA11.SA,46.20000076293945
2020-07-02,EGIE3.SA,43.65999984741211
2020-07-02,CPFE3.SA,30.43000030517578
2020-07-02,CRFB3.SA,20.1200008392334
2020-07-02,CSAN3.SA,74.02999877929688
2020-07-02,NTCO3.SA,40.810001373291016
2020-07-02,TAEE11.SA,28.40999984741211
2020-07-02,MULT3.SA,20.75
2020-07-02,SANB11.SA,28.690000534057614
2020-07-02,BRDT3.SA,21.989999771118164
2020-07-02,LREN3.SA,41.459999084472656
2020-07-02,CMIG4.SA,10.680700302124023
2020-07-02,CVCB3.SA,18.140899658203125
2020-07-02,BTOW3.SA,107.93000030517578
2020-07-02,QUAL3.SA,28.45000076293945
2020-07-02,CYRE3.SA,24.559999465942386
2020-07-02,PETR4.SA,22.059999465942386
2020-07-02,ELET3.SA,32.060001373291016
2020-07-02,RENT3.SA,42.38999938964844
2020-07-02,PRIO3.SA,35.41999816894531
2020-07-03,QUAL3.SA,28.60000038146973
2020-07-03,ENBR3.SA,18.149999618530273
2020-07-03,EGIE3.SA,45.04999923706055
2020-07-03,UGPA3.SA,18.43000030517578
2020-07-03,RADL3.SA,22.923999786376953
2020-07-03,GNDI3.SA,65.80000305175781
2020-07-03,MGLU3.SA,72.0
2020-07-03,CRFB3.SA,20.200000762939453
2020-07-03,BRDT3.SA,22.200000762939453
2020-07-03,AZUL4.SA,21.149999618530273
2020-07-03,BRFS3.SA,20.190000534057614
2020-07-03,LREN3.SA,41.0
2020-07-03,BEEF3.SA,13.199999809265135
2020-07-03,GOAU4.SA,7.269999980926514
2020-07-03,HGTX3.SA,14.800000190734865
2020-07-03,CMIG4.SA,10.690299987792967
2020-07-03,WEGE3.SA,54.0
2020-07-03,SUZB3.SA,37.27000045776367
2020-07-03,ELET3.SA,32.59000015258789
2020-07-03,PETR3.SA,22.5
2020-07-03,TOTS3.SA,24.20000076293945
2020-07-03,JBSS3.SA,21.950000762939453
2020-07-03,PCAR3.SA,72.54000091552734
2020-07-03,ENGI11.SA,47.25
2020-07-03,BRML3.SA,10.479999542236328
2020-07-03,MRVE3.SA,19.270000457763672
2020-07-03,NTCO3.SA,41.29999923706055
2020-07-03,RENT3.SA,42.70000076293945
2020-07-03,IGTA3.SA,34.459999084472656
2020-07-03,BBDC4.SA,21.350000381469727
2020-07-03,FLRY3.SA,24.790000915527344
2020-07-03,SBSP3.SA,57.88000106811523
2020-07-03,CYRE3.SA,25.31999969482422
2020-07-03,CVCB3.SA,18.545499801635746
2020-07-03,EZTC3.SA,42.91999816894531
2020-07-03,BBDC3.SA,19.43000030517578
2020-07-03,VALE3.SA,55.2599983215332
2020-07-03,IRBR3.SA,8.951080322265625
2020-07-03,SANB11.SA,28.45000076293945
2020-07-03,MULT3.SA,21.350000381469727
2020-07-03,BTOW3.SA,108.86000061035156
2020-07-03,CSAN3.SA,75.62000274658203
2020-07-03,ITSA4.SA,9.970000267028807
2020-07-03,BBAS3.SA,33.5
2020-07-03,B3SA3.SA,56.5
2020-07-03,ITUB4.SA,26.5
2020-07-03,VVAR3.SA,15.550000190734865
2020-07-03,SULA11.SA,48.56000137329102
2020-07-03,BRKM5.SA,23.51000022888184
2020-07-03,TAEE11.SA,28.399999618530273
2020-07-03,RAIL3.SA,22.489999771118164
2020-07-03,VIVT4.SA,48.849998474121094
2020-07-03,HYPE3.SA,32.400001525878906
2020-07-03,MRFG3.SA,12.350000381469727
2020-07-03,GGBR4.SA,15.710000038146973
2020-07-03,ECOR3.SA,13.869999885559082
2020-07-03,USIM5.SA,7.460000038146973
2020-07-03,CCRO3.SA,14.800000190734865
2020-07-03,CSNA3.SA,10.710000038146973
2020-07-03,EQTL3.SA,24.239999771118164
2020-07-03,BBSE3.SA,27.76000022888184
2020-07-03,BPAC11.SA,79.51000213623047
2020-07-03,BRAP4.SA,35.9900016784668
2020-07-03,CIEL3.SA,4.800000190734863
2020-07-03,GOLL4.SA,19.559999465942386
2020-07-03,ABEV3.SA,14.140000343322756
2020-07-03,ELET6.SA,33.950000762939446
2020-07-03,YDUQ3.SA,34.47999954223633
2020-07-03,TIMP3.SA,15.25
2020-07-03,COGN3.SA,7.199999809265138
2020-07-03,PRIO3.SA,34.830001831054695
2020-07-03,KLBN11.SA,20.8700008392334
2020-07-03,HAPV3.SA,60.90999984741211
2020-07-03,EMBR3.SA,8.189999580383299
2020-07-03,PETR4.SA,21.979999542236328
2020-07-03,LAME4.SA,31.0
2020-07-03,CPFE3.SA,30.79999923706055
2020-07-06,TIMP3.SA,15.300000190734865
2020-07-06,ITSA4.SA,10.359999656677246
2020-07-06,BRFS3.SA,21.149999618530273
